cp_id,case_id,person_id,association,role,source
CPA-0245,CASE-173,PERSON-110,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0246,CASE-174,PERSON-098,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0247,CASE-175,PERSON-126,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0248,CASE-176,PERSON-197,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0249,CASE-176,PERSON-111,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0250,CASE-176,PERSON-056,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0251,CASE-177,PERSON-019,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0252,CASE-178,PERSON-001,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0253,CASE-178,PERSON-010,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0254,CASE-178,PERSON-171,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0255,CASE-179,PERSON-123,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0256,CASE-179,PERSON-112,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0257,CASE-180,PERSON-200,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0258,CASE-180,PERSON-124,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0259,CASE-180,PERSON-032,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0260,CASE-181,PERSON-166,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0261,CASE-181,PERSON-024,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0262,CASE-181,PERSON-094,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0263,CASE-184,PERSON-113,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0264,CASE-184,PERSON-189,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0265,CASE-184,PERSON-049,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0266,CASE-185,PERSON-139,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0267,CASE-187,PERSON-168,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0268,CASE-189,PERSON-012,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0269,CASE-189,PERSON-063,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0270,CASE-189,PERSON-180,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0271,CASE-192,PERSON-110,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0272,CASE-193,PERSON-196,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0273,CASE-194,PERSON-044,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0274,CASE-194,PERSON-179,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0275,CASE-195,PERSON-157,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0276,CASE-195,PERSON-097,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0277,CASE-195,PERSON-200,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0278,CASE-196,PERSON-181,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0279,CASE-198,PERSON-157,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0280,CASE-199,PERSON-161,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0281,CASE-200,PERSON-025,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0282,CASE-200,PERSON-159,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0283,CASE-200,PERSON-093,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0284,CASE-201,PERSON-029,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0285,CASE-203,PERSON-195,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0286,CASE-203,PERSON-117,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0287,CASE-203,PERSON-012,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0288,CASE-205,PERSON-108,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0289,CASE-205,PERSON-051,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0290,CASE-206,PERSON-061,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0291,CASE-207,PERSON-125,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0292,CASE-207,PERSON-014,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0293,CASE-207,PERSON-112,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0294,CASE-208,PERSON-185,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0295,CASE-208,PERSON-050,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0296,CASE-209,PERSON-016,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0297,CASE-209,PERSON-072,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0298,CASE-209,PERSON-035,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0299,CASE-211,PERSON-059,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0300,CASE-211,PERSON-023,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0301,CASE-211,PERSON-106,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0302,CASE-212,PERSON-110,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0303,CASE-212,PERSON-189,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0304,CASE-212,PERSON-064,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0305,CASE-214,PERSON-123,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0306,CASE-214,PERSON-179,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0307,CASE-216,PERSON-005,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0308,CASE-220,PERSON-179,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0309,CASE-220,PERSON-157,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0310,CASE-222,PERSON-011,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0311,CASE-222,PERSON-094,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0312,CASE-222,PERSON-045,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0313,CASE-223,PERSON-062,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0314,CASE-223,PERSON-139,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0315,CASE-225,PERSON-096,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0316,CASE-226,PERSON-174,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0317,CASE-226,PERSON-137,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0318,CASE-226,PERSON-075,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0319,CASE-227,PERSON-046,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0320,CASE-227,PERSON-074,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0321,CASE-228,PERSON-134,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0322,CASE-229,PERSON-114,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0323,CASE-229,PERSON-189,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0324,CASE-232,PERSON-034,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0325,CASE-232,PERSON-079,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0326,CASE-232,PERSON-044,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0327,CASE-233,PERSON-117,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0328,CASE-233,PERSON-043,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0329,CASE-235,PERSON-148,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0330,CASE-235,PERSON-033,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0331,CASE-237,PERSON-007,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0332,CASE-238,PERSON-140,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0333,CASE-238,PERSON-130,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0334,CASE-238,PERSON-085,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0335,CASE-241,PERSON-115,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0336,CASE-242,PERSON-197,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0337,CASE-244,PERSON-015,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0338,CASE-244,PERSON-171,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0339,CASE-244,PERSON-093,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0340,CASE-245,PERSON-090,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0341,CASE-245,PERSON-079,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0342,CASE-248,PERSON-135,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0343,CASE-248,PERSON-086,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0344,CASE-249,PERSON-107,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
CPA-0345,CASE-249,PERSON-045,Associated with registered case record. Requires human verification.,SUBJECT,STRUCTURED_METADATA
