entity_a,entity_b,ground_truth,category,string_similarity,embedding_similarity,attribute_similarity,final_score,decision
Pooja Dutta,Pooja Siddiqui,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.64,0.761,0.5,0.6604,POSSIBLE_MATCH
Sunil Khan,Sunil Mittal,0,SAME_FIRSTNAME_DIFFERENT_SURNAME,0.6364,0.5992,0.5,0.5942,NO_MATCH
Abhishek Yadav,Usha Sharma,0,DISTINCT_PERSONS,0.4,0.4545,0.5,0.4418,NO_MATCH
Subhash Ghosh,Pradeep Ahmed,0,DISTINCT_PERSONS,0.0769,0.2404,0.5,0.2269,NO_MATCH
Kunal Bhattacharya,Manoj Tiwari,0,DISTINCT_PERSONS,0.3333,0.3466,0.5,0.372,NO_MATCH
Sunil Singh,Ramesh Jain,0,DISTINCT_PERSONS,0.3636,0.5682,0.5,0.4727,NO_MATCH
Seema Tiwari,Anil Yadav,0,DISTINCT_PERSONS,0.2727,0.3818,0.5,0.3618,NO_MATCH
Seema Siddiqui,Subhash Sarkar,0,DISTINCT_PERSONS,0.2857,0.2912,0.5,0.3308,NO_MATCH
Kunal Sharma,Ramesh Sen,0,DISTINCT_PERSONS,0.2727,0.5587,0.5,0.4326,NO_MATCH
Anil Gupta,Sushma Sharma,0,DISTINCT_PERSONS,0.2609,0.464,0.5,0.3899,NO_MATCH
Kunal Roy,Amit Mukherjee,0,DISTINCT_PERSONS,0.1739,0.3002,0.5,0.2896,NO_MATCH
Rakesh Mittal,Santosh Ahmed,0,DISTINCT_PERSONS,0.3846,0.3984,0.5,0.4132,NO_MATCH
Naveen Mehta,Rohit Singhal,0,DISTINCT_PERSONS,0.16,0.4005,0.5,0.3242,NO_MATCH
Manoj Mukherjee,Rajesh Shukla,0,DISTINCT_PERSONS,0.3571,0.5059,0.5,0.4452,NO_MATCH
Asha Mishra,Vijay Singhal,0,DISTINCT_PERSONS,0.3333,0.2892,0.5,0.349,NO_MATCH
Sunil Jain,Sanjay Jain,0,DISTINCT_PERSONS,0.6667,0.7821,0.5,0.6795,POSSIBLE_MATCH
Rajesh Bhattacharya,Mukesh Garg,0,DISTINCT_PERSONS,0.4,0.3346,0.5,0.3938,NO_MATCH
Sachin Goyal,Kiran Sharma,0,DISTINCT_PERSONS,0.3333,0.538,0.5,0.4486,NO_MATCH
Kunal Sharma,Alok Singhal,0,DISTINCT_PERSONS,0.5,0.6732,0.5,0.5693,NO_MATCH
Manish Pandey,Jitendra Qureshi,0,DISTINCT_PERSONS,0.2069,0.3634,0.5,0.3281,NO_MATCH
Sachin Patel,Vivek Kaur,0,DISTINCT_PERSONS,0.0909,0.2466,0.5,0.235,NO_MATCH
Jitendra Joshi,Shobha Kaur,0,DISTINCT_PERSONS,0.16,0.4438,0.5,0.3415,NO_MATCH
Neetu Dutta,Rakesh Mehta,0,DISTINCT_PERSONS,0.3478,0.3436,0.5,0.3766,NO_MATCH
Manish Verma,Subhash Sarkar,0,DISTINCT_PERSONS,0.4615,0.2067,0.5,0.3673,NO_MATCH
Ajay Roy,Geeta Kumar,0,DISTINCT_PERSONS,0.3158,0.3716,0.5,0.375,NO_MATCH
Reena Shukla,Devendra Kumar,0,DISTINCT_PERSONS,0.5385,0.3663,0.5,0.4619,NO_MATCH
Dinesh Garg,Vandana Gupta,0,DISTINCT_PERSONS,0.4167,0.4052,0.5,0.4287,NO_MATCH
Amit Garg,Shashi Patel,0,DISTINCT_PERSONS,0.2857,0.148,0.5,0.2735,NO_MATCH
Harish Das,Reena Shukla,0,DISTINCT_PERSONS,0.3636,0.3184,0.5,0.3728,NO_MATCH
Devendra Kumar,Champa Kumar,0,DISTINCT_PERSONS,0.5385,0.717,0.5,0.6022,NO_MATCH
Arjun Qureshi,Alok Singh,0,DISTINCT_PERSONS,0.2609,0.5441,0.5,0.422,NO_MATCH
Archana Kaur,Pradeep Ghosh,0,DISTINCT_PERSONS,0.16,0.3088,0.5,0.2875,NO_MATCH
Dinesh Goyal,Pushpa Chatterjee,0,DISTINCT_PERSONS,0.2759,0.3916,0.5,0.367,NO_MATCH
Satish Bhattacharya,Manish Patel,0,DISTINCT_PERSONS,0.4516,0.3493,0.5,0.4204,NO_MATCH
Santosh Shukla,Manoj Das,0,DISTINCT_PERSONS,0.3478,0.4104,0.5,0.4033,NO_MATCH
Sanjay Singh,Seema Joshi,0,DISTINCT_PERSONS,0.4348,0.3606,0.5,0.4182,NO_MATCH
Subhash Ali,Vivek Das,0,DISTINCT_PERSONS,0.2,0.1255,0.5,0.2302,NO_MATCH
Rahul Sharma,Rakesh Sen,0,DISTINCT_PERSONS,0.4545,0.347,0.5,0.4206,NO_MATCH
Kamla Goyal,Anita Mukherjee,0,DISTINCT_PERSONS,0.2308,0.3893,0.5,0.348,NO_MATCH
Rahul Chakraborty,Subhash Ali,0,DISTINCT_PERSONS,0.2857,0.3946,0.5,0.3721,NO_MATCH
Sangeeta Sen,Suresh Ahmed,0,DISTINCT_PERSONS,0.25,0.3203,0.5,0.3281,NO_MATCH
Rakesh Sen,Pooja Jain,0,DISTINCT_PERSONS,0.3,0.4141,0.5,0.3856,NO_MATCH
Rohit Sharma,Lata Ansari,0,DISTINCT_PERSONS,0.4348,0.2264,0.5,0.3645,NO_MATCH
Harish Shukla,Pankaj Bhattacharya,0,DISTINCT_PERSONS,0.25,0.465,0.5,0.386,NO_MATCH
Nitin Banerjee,Sanjay Verma,0,DISTINCT_PERSONS,0.3077,0.4892,0.5,0.4187,NO_MATCH
Pankaj Ahmed,Ritu Kaur,0,DISTINCT_PERSONS,0.1905,0.3698,0.5,0.3241,NO_MATCH
Pradeep Goyal,Dinesh Garg,0,DISTINCT_PERSONS,0.4167,0.4622,0.5,0.4515,NO_MATCH
Suresh Hussain,Rakesh Pandey,0,DISTINCT_PERSONS,0.5185,0.3109,0.5,0.4318,NO_MATCH
Santosh Ghosh,Abhishek Bansal,0,DISTINCT_PERSONS,0.1429,0.3066,0.5,0.2798,NO_MATCH
Pradeep Sarkar,Santosh Goyal,0,DISTINCT_PERSONS,0.2222,0.4059,0.5,0.3513,NO_MATCH
Usha Yadav,Deepak Garg,0,DISTINCT_PERSONS,0.2857,0.2913,0.5,0.3308,NO_MATCH
Alok Goyal,Suresh Ghosh,0,DISTINCT_PERSONS,0.2727,0.4274,0.5,0.38,NO_MATCH
Mukesh Joshi,Anita Singhal,0,DISTINCT_PERSONS,0.16,0.3305,0.5,0.2962,NO_MATCH
Abhishek Ahmed,Harish Garg,0,DISTINCT_PERSONS,0.48,0.4091,0.5,0.4557,NO_MATCH
Anil Gupta,Pradeep Khan,0,DISTINCT_PERSONS,0.1818,0.5396,0.5,0.3886,NO_MATCH
Vivek Ahmed,Manju Ghosh,0,DISTINCT_PERSONS,0.1818,0.266,0.5,0.2791,NO_MATCH
Pawan Roy,Harish Goyal,0,DISTINCT_PERSONS,0.381,0.3359,0.5,0.3867,NO_MATCH
Pawan Hussain,Babita Shukla,0,DISTINCT_PERSONS,0.4615,0.2812,0.5,0.3971,NO_MATCH
Vivek Tiwari,Vijay Mehta,0,DISTINCT_PERSONS,0.4348,0.463,0.5,0.4591,NO_MATCH
Suresh Ahmed,Arjun Siddiqui,0,DISTINCT_PERSONS,0.1538,0.3524,0.5,0.3025,NO_MATCH
Arjun Ghosh,Manoj Bose,0,DISTINCT_PERSONS,0.4762,0.3436,0.5,0.4279,NO_MATCH
Shobha Khan,Vikram Chakraborty,0,DISTINCT_PERSONS,0.2759,0.3914,0.5,0.3669,NO_MATCH
Vijay Qureshi,Radha Qureshi,0,DISTINCT_PERSONS,0.6923,0.6526,0.5,0.638,NO_MATCH
Pradeep Mishra,Poonam Singh,0,DISTINCT_PERSONS,0.3846,0.4366,0.5,0.4285,NO_MATCH
Pawan Bhattacharya,Harish Tiwari,0,DISTINCT_PERSONS,0.2581,0.4903,0.5,0.3994,NO_MATCH
Pankaj Ansari,Ramesh Pandey,0,DISTINCT_PERSONS,0.2308,0.4828,0.5,0.3854,NO_MATCH
Radha Verma,Sangeeta Pandey,0,DISTINCT_PERSONS,0.3077,0.345,0.5,0.3611,NO_MATCH
Pradeep Ghosh,Anil Sarkar,0,DISTINCT_PERSONS,0.1667,0.3599,0.5,0.3106,NO_MATCH
Manish Verma,Ashok Bose,0,DISTINCT_PERSONS,0.4545,0.364,0.5,0.4274,NO_MATCH
Santosh Kumar,Lata Mukherjee,0,DISTINCT_PERSONS,0.2963,0.5516,0.5,0.4392,NO_MATCH
Sunil Garg,Suresh Ahmed,0,DISTINCT_PERSONS,0.3636,0.2891,0.5,0.3611,NO_MATCH
Vijay Kaur,Pooja Bhattacharya,0,DISTINCT_PERSONS,0.2857,0.308,0.5,0.3375,NO_MATCH
Seema Siddiqui,Sangeeta Sen,0,DISTINCT_PERSONS,0.4615,0.3946,0.5,0.4425,NO_MATCH
Ashok Mehta,Subhash Qureshi,0,DISTINCT_PERSONS,0.4615,0.3729,0.5,0.4338,NO_MATCH
Rahul Yadav,Mukesh Bhattacharya,0,DISTINCT_PERSONS,0.2,0.3213,0.5,0.3085,NO_MATCH
Kunal Ahmed,Sunil Patel,0,DISTINCT_PERSONS,0.5455,0.4264,0.5,0.4887,NO_MATCH
Sanjay Verma,Jyoti Banerjee,0,DISTINCT_PERSONS,0.3077,0.5654,0.5,0.4492,NO_MATCH
Neetu Chakraborty,Harish Mittal,0,DISTINCT_PERSONS,0.2667,0.3737,0.5,0.3562,NO_MATCH
Arjun Ansari,Manish Sharma,0,DISTINCT_PERSONS,0.24,0.3959,0.5,0.3543,NO_MATCH
Amit Kaur,Manoj Qureshi,0,DISTINCT_PERSONS,0.3636,0.3438,0.5,0.383,NO_MATCH
Nitin Pandey,Manish Sarkar,0,DISTINCT_PERSONS,0.32,0.2654,0.5,0.3342,NO_MATCH
Rahul Banerjee,Ramesh Sarkar,0,DISTINCT_PERSONS,0.4444,0.5432,0.5,0.4951,NO_MATCH
Satish Banerjee,Kusum Singhal,0,DISTINCT_PERSONS,0.1429,0.4707,0.5,0.3454,NO_MATCH
Subhash Gupta,Mukesh Kumar,0,DISTINCT_PERSONS,0.48,0.5273,0.5,0.5029,NO_MATCH
Devendra Kumar,Sunil Joshi,0,DISTINCT_PERSONS,0.16,0.4434,0.5,0.3414,NO_MATCH
Mukesh Qureshi,Vivek Chakraborty,0,DISTINCT_PERSONS,0.1935,0.2495,0.5,0.2772,NO_MATCH
